Wall time,Step,Value
1599803098.1931443,0,0.8048088550567627
1599805576.897673,1,0.6733593940734863
1599808068.0417101,2,0.6298717260360718
1599810549.727332,3,0.608891487121582
1599813027.2355044,4,0.5932705998420715
1599815502.7905784,5,0.5822306275367737
1599817978.057983,6,0.5736622214317322
1599820454.1967783,7,0.5691710710525513
1599822922.1499867,8,0.5632776021957397
1599825400.6707501,9,0.5568733811378479
1599827874.3906932,10,0.5545667409896851
1599830430.5419776,11,0.5505183935165405
1599832998.2067196,12,0.5483030080795288
1599835552.3066862,13,0.5463253855705261
1599838125.050448,14,0.5433809757232666
1599840817.8787692,15,0.5432028770446777
1599843448.978038,16,0.541101336479187
1599846096.2073693,17,0.537875771522522
1599848724.6723156,18,0.5392690300941467
1599851278.8656988,19,0.5363590717315674
1599853837.2975726,20,0.5350323915481567
1599856397.9857707,21,0.5338268280029297
1599858951.439864,22,0.5341960787773132
1599861517.6483612,23,0.5346167087554932
1599864096.9333313,24,0.531387448310852
1599866661.9413512,25,0.534282386302948
1599869209.3090298,26,0.5303963422775269
1599871771.3843524,27,0.532072126865387
1599874321.355175,28,0.5286296606063843
1599876879.8402743,29,0.5290411114692688
1599879440.2284303,30,0.5268495082855225
1599882003.3619108,31,0.5300503969192505
1599884575.5872176,32,0.5264226198196411
1599887149.4480853,33,0.5286927819252014
1599889710.6126626,34,0.5292285680770874
1599892280.5999496,35,0.5254919528961182
1599894835.689638,36,0.5280340909957886
1599897392.3000422,37,0.5250430107116699
1599899942.3875272,38,0.52387535572052
1599902500.7278275,39,0.5202887058258057
1599905053.8468273,40,0.5258351564407349
1599907617.890913,41,0.5248454213142395
1599910179.7937918,42,0.5216677188873291
1599912736.6247392,43,0.5242112874984741
1599915296.0594008,44,0.5214107036590576
1599917861.6057796,45,0.5203455686569214
1599920416.9623702,46,0.5226816534996033
1599922971.1488855,47,0.5225176215171814
1599925528.4727829,48,0.5183200240135193
1599928079.6632755,49,0.5186372399330139
1599930693.173344,50,0.5185326933860779
1599933308.8006256,51,0.5211160778999329
1599935932.9448726,52,0.5185286402702332
1599938505.9277215,53,0.5187315344810486
1599941058.0012734,54,0.5152990221977234
1599943619.9262831,55,0.5177613496780396
1599946183.1826336,56,0.5185418128967285
1599948733.443928,57,0.5175714492797852
1599951289.7411592,58,0.5167528986930847
1599953857.5225022,59,0.5158903002738953
1599956419.2262778,60,0.5161898136138916
1599958980.8184154,61,0.5172156095504761
