Wall time,Step,Value
1599803098.193048,0,0.0
1599805576.897595,1,0.0
1599808068.0416124,2,0.0
1599810549.7272446,3,0.0
1599813027.235427,4,0.0
1599815502.79052,5,0.0
1599817978.0578706,6,0.0
1599820454.1966715,7,0.0
1599822922.1499093,8,0.0
1599825400.6706495,9,0.0
1599827874.3906405,10,9.13912582397461
1599830430.541876,11,8.956670761108398
1599832998.20662,12,8.865263938903809
1599835552.306621,13,8.745308876037598
1599838125.0503488,14,8.648665428161621
1599840817.8786836,15,8.773378372192383
1599843448.9779322,16,8.673859596252441
1599846096.2073133,17,8.563175201416016
1599848724.6722136,18,8.506522178649902
1599851278.8656461,19,8.510993003845215
1599853837.297521,20,8.580628395080566
1599856397.985668,21,8.531084060668945
1599858951.439787,22,8.489936828613281
1599861517.6482835,23,8.452152252197266
1599864096.9332247,24,8.347183227539062
1599866661.9412456,25,8.469860076904297
1599869209.3089788,26,8.332558631896973
1599871771.384275,27,8.4085111618042
1599874321.3550768,28,8.392916679382324
1599876879.840217,29,8.282881736755371
1599879440.22838,30,8.391362190246582
1599882003.3618338,31,8.361237525939941
1599884575.5871308,32,8.246480941772461
1599887149.4479795,33,8.325409889221191
1599889710.6125646,34,8.279208183288574
1599892280.5998714,35,8.210079193115234
1599894835.68954,36,8.249432563781738
1599897392.2999444,37,8.256126403808594
1599899942.3874292,38,8.077836036682129
1599902500.7277296,39,8.055224418640137
1599905053.8467128,40,8.218029975891113
1599907617.890803,41,8.195097923278809
1599910179.7936919,42,8.0353364944458
1599912736.6246376,43,8.128811836242676
1599915296.0592942,44,8.10524845123291
1599917861.6057017,45,8.060365676879883
1599920416.962264,46,8.264595985412598
1599922971.1488135,47,8.152392387390137
1599925528.4727304,48,7.948739528656006
1599928079.663223,49,8.051800727844238
1599930693.1732914,50,8.111091613769531
1599933308.8005195,51,8.097359657287598
1599935932.9447873,52,8.120725631713867
1599938505.9276342,53,8.035813331604004
1599941058.0011876,54,7.983601093292236
1599943619.9262037,55,8.050890922546387
1599946183.1825564,56,8.00080680847168
1599948733.4438272,57,8.07363510131836
1599951289.74106,58,7.980654716491699
1599953857.5224512,59,7.940706253051758
1599956419.2261708,60,7.954659461975098
1599958980.8183286,61,8.064922332763672
1599961544.3352954,62,8.047139167785645
1599964099.9685426,63,7.9122514724731445
1599966663.2636878,64,7.982224941253662
1599969207.2472115,65,8.02314281463623
1599971766.6190457,66,7.934829235076904
1599974321.4666595,67,8.06312084197998
1599976876.6807861,68,7.97371244430542
1599979431.2499099,69,7.86915922164917
1599981979.2700868,70,8.053770065307617
1599984533.463537,71,8.051664352416992
1599987096.8662438,72,7.975927829742432
1599989654.5449438,73,7.946314334869385
1599992200.5751715,74,7.841045379638672
1599994753.609666,75,7.967243194580078
1599997306.3036342,76,7.988675117492676
1599999855.6718915,77,7.972461223602295
1600002419.950952,78,7.860233783721924
1600004974.7608716,79,7.8497843742370605
1600007529.4495423,80,7.932628631591797
1600010079.5183883,81,7.8978962898254395
1600012645.890884,82,7.9566450119018555
1600015205.4913838,83,7.954537868499756
1600017804.7566257,84,7.958136558532715
1600020432.321029,85,7.807816982269287
1600023047.6086545,86,7.9318084716796875
1600025633.196146,87,7.827233791351318
1600028197.121725,88,7.9319748878479
1600030752.3575194,89,7.828303337097168
1600033324.3514943,90,7.950926780700684
1600035874.6400967,91,7.84201192855835
1600038439.889013,92,7.897738456726074
1600040996.0704985,93,7.838804244995117
1600043559.7048829,94,7.848947525024414
1600046118.7397807,95,7.815998554229736
1600048668.5449588,96,7.889821529388428
1600051239.770308,97,7.962482929229736
1600053806.09873,98,7.788519859313965
1600056365.2158706,99,8.001275062561035
1600058929.272815,100,7.787073135375977
1600061482.87457,101,7.964869499206543
1600064059.655112,102,7.821802616119385
1600066629.3184776,103,7.812605381011963
1600069190.1205487,104,7.849250316619873
1600071756.4198856,105,7.858402729034424
1600074320.9246538,106,7.854501724243164
1600076890.165935,107,7.818225860595703
1600079458.9461217,108,7.835023403167725
1600082026.0793939,109,7.7979559898376465
1600084600.697362,110,7.775726795196533
1600087161.604299,111,7.819629192352295
1600089733.6065152,112,7.791467666625977
1600092454.9910188,113,7.822970867156982
1600095034.819207,114,7.724471569061279
1600097612.0916724,115,7.834627628326416
1600100187.7484674,116,7.8279709815979
1600102753.7239335,117,7.8017754554748535
1600105374.8886817,118,7.882211208343506
1600108005.220373,119,7.897971153259277
1600110637.3465197,120,7.807533264160156
1600113238.5615764,121,7.74321985244751
1600115822.3493207,122,7.76658296585083
1600118392.7629979,123,7.810945987701416
1600120965.1114264,124,7.82496452331543
1600123534.614678,125,7.7691545486450195
1600126103.4321837,126,7.8650617599487305
1600128671.4771612,127,7.697775363922119
1600131252.8945298,128,7.767016887664795
1600133825.9858613,129,7.8417534828186035
1600136400.3769753,130,7.867785930633545
1600138970.9939187,131,7.908968448638916
1600141535.7243114,132,7.866234302520752
1600144107.7300286,133,7.574959754943848
1600146682.9494221,134,7.757148742675781
1600149257.797716,135,7.810027122497559
1600151843.5565054,136,7.803536891937256
1600154419.9409819,137,7.828235626220703
1600156989.8475745,138,7.865398406982422
1600159559.7282946,139,7.723133087158203
1600162142.435239,140,7.665046691894531
1600164724.097354,141,7.738829612731934
1600167312.9117303,142,7.771123886108398
1600169880.2719631,143,7.705809116363525
1600172449.364172,144,7.8237810134887695
1600175023.5723765,145,7.692568302154541
1600177603.478395,146,7.701344966888428
1600180176.0691748,147,7.775167942047119
1600182749.8634703,148,7.690914630889893
1600185330.9304812,149,7.70750617980957
